product,2020-05-01,2020-08-01,2020-11-01,2021-02-01,2021-05-01,2021-08-01,2021-11-01,2022-02-01,2022-05-01,2022-08-01,2022-11-01,2023-02-01
ROUTER 1,,,,906,941,663,769,3565,1020,1670,38,2141
TRANSCIEVER,87173,102849,126375,128629,179125,138750,208760,116126,150803,82163,82408,67132
SWITCH 1,,,,3651,10409,10575,17934,15104,15525,6938,9595,9231
ACCESS POINT 1,,,,,,,9576,46029,109452,54955,60478,62708
ACCESS POINT 2,,,,,,,,,26769,33670,74853,80944
SWITCH 2,13432,12463,13452,14581,15831,13864,15012,11349,10422,8726,10185,8645
SWITCH 3,28585,19686,44724,37781,31905,37888,32689,30442,27028,21246,21149,10584
POWER SUPPLY 1,115709,98337,147681,185327,194170,220386,204604,194538,185160,147284,136997,100623
SWITCH 4,,,,177,270,850,2717,3833,4279,6089,8063,2535
SWITCH 5,4571,4100,4830,5472,7391,7894,7101,6943,6126,4616,4680,4397
SWITCH 6,,,,,,,222,1549,4619,4764,5015,6656
ACCESS POINT 3,65048,67810,90928,148547,228945,204184,245453,245803,136283,76020,51586,53431
SUPERVISOR ENGINE,,,,,,,15,108,1972,2427,2841,2096
SWITCH 7,6073,5459,6736,12213,13883,27045,15162,13855,12351,8933,5909,6643
WIRELESS CONTROLLER,1208,963,1698,1833,2423,2602,2341,1830,1567,1210,1659,1311
SWITCH 8,4,-4,36,305,1093,2360,4317,4343,4094,2756,3126,2808
SWITCH 9,6187,5301,7172,7582,10964,11501,14980,9158,11601,3788,5338,5595
ACCESS POINT 4,,,,,,,,,13260,21667,30498,40505
SWITCH 10,,,,,,,,,1227,24186,7680,16772
POWER SUPPLY 2,28279,22704,24098,31461,47009,35145,45978,34518,40605,26925,23635,17799
