,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarterly,quarterly_lower,quarterly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-05-01,4149.4345788,24287.417180604498,41429.11479281878,4149.4345788,4149.4345788,28859.605585142566,28859.605585142566,28859.605585142566,28859.605585142566,28859.605585142566,28859.605585142566,0.0,0.0,0.0,33009.04016394257
1,2020-08-01,3939.2991760007953,24264.58579862573,41317.090653447915,3939.2991760007953,3939.2991760007953,28859.605585204274,28859.605585204274,28859.605585204274,28859.605585204274,28859.605585204274,28859.605585204274,0.0,0.0,0.0,32798.90476120507
2,2020-11-01,3729.1637700885826,24182.625075078846,41191.61992145631,3729.1637700885826,3729.1637700885826,28859.605585070745,28859.605585070745,28859.605585070745,28859.605585070745,28859.605585070745,28859.605585070745,0.0,0.0,0.0,32588.76935515933
3,2021-02-01,3519.0283637629545,23957.900715452997,40690.53065350548,3519.0283637629545,3519.0283637629545,28859.60558523007,28859.60558523007,28859.60558523007,28859.60558523007,28859.60558523007,28859.60558523007,0.0,0.0,0.0,32378.633948993025
4,2021-05-01,3315.745199354507,25153.502947516536,42506.488972446634,3315.745199354507,3315.745199354507,30230.087589626055,30230.087589626055,30230.087589626055,30230.087589626055,30230.087589626055,30230.087589626055,0.0,0.0,0.0,33545.83278898056
5,2021-08-01,3105.60979279397,25191.86531089836,41449.32703474851,3105.60979279397,3105.60979279397,30230.08758964258,30230.08758964258,30230.08758964258,30230.08758964258,30230.08758964258,30230.08758964258,0.0,0.0,0.0,33335.69738243655
6,2021-11-01,2895.4743869131976,24559.918224102563,41271.633967791786,2895.4743869131976,2895.4743869131976,30230.087589598934,30230.087589598934,30230.087589598934,30230.087589598934,30230.087589598934,30230.087589598934,0.0,0.0,0.0,33125.56197651213
7,2022-02-01,2685.338981350539,24309.21441328731,41840.74970658943,2685.338981350539,2685.338981350539,30230.087589582025,30230.087589582025,30230.087589582025,30230.087589582025,30230.087589582025,30230.087589582025,0.0,0.0,0.0,32915.42657093256
8,2022-05-01,2482.055816908988,11850.367920891786,28580.96555212169,2482.055816908988,2482.055816908988,17834.093043561985,17834.093043561985,17834.093043561985,17834.093043561985,17834.093043561985,17834.093043561985,0.0,0.0,0.0,20316.148860470974
9,2022-08-01,2271.92041117629,11947.442552603736,28574.997443609223,2271.92041117629,2271.92041117629,17834.093043500277,17834.093043500277,17834.093043500277,17834.093043500277,17834.093043500277,17834.093043500277,0.0,0.0,0.0,20106.01345467657
10,2022-11-01,2061.785005443592,11339.871520489576,28801.95474223441,2061.785005443592,2061.785005443592,17834.09304356059,17834.09304356059,17834.09304356059,17834.09304356059,17834.09304356059,17834.09304356059,0.0,0.0,0.0,19895.878049004183
11,2023-02-01,1851.6495997108946,11660.891266751005,29139.83977390467,1851.6495997108946,1851.6495997108946,17834.093043694116,17834.093043694116,17834.093043694116,17834.093043694116,17834.093043694116,17834.093043694116,0.0,0.0,0.0,19685.74264340501
12,2023-03-31,1719.1729308794115,21265.260574375447,39190.93900454071,1719.1729028290893,1719.1729552102292,28859.605585262037,28859.605585262037,28859.605585262037,28859.605585262037,28859.605585262037,28859.605585262037,0.0,0.0,0.0,30578.77851614145
