,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarterly,quarterly_lower,quarterly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-10-01,3033.85284,12598.440211421226,14358.984290481734,3033.85284,3033.85284,10442.873097624639,10442.873097624639,10442.873097624639,10442.873097624639,10442.873097624639,10442.873097624639,0.0,0.0,0.0,13476.725937624638
1,2021-01-01,2635.066061684211,12182.234349134505,13957.064909053333,2635.066061684211,2635.066061684211,10442.873097623042,10442.873097623042,10442.873097623042,10442.873097623042,10442.873097623042,10442.873097623042,0.0,0.0,0.0,13077.939159307252
2,2021-04-01,2244.948561200896,11855.164207679823,13635.525859021784,2244.948561200896,2244.948561200896,10522.943414378065,10522.943414378065,10522.943414378065,10522.943414378065,10522.943414378065,10522.943414378065,0.0,0.0,0.0,12767.891975578961
3,2021-07-01,1850.4964218573589,14191.162273703205,16022.963231490296,1850.4964218573589,1850.4964218573589,13301.39775509991,13301.39775509991,13301.39775509991,13301.39775509991,13301.39775509991,13301.39775509991,0.0,0.0,0.0,15151.894176957268
4,2021-10-01,1451.7096436867253,13895.391114757638,15593.069468625225,1451.7096436867253,1451.7096436867253,13301.39775509979,13301.39775509979,13301.39775509979,13301.39775509979,13301.39775509979,13301.39775509979,0.0,0.0,0.0,14753.107398786515
5,2022-01-01,1052.922865403458,13484.181009524937,15200.91887430351,1052.922865403458,1052.922865403458,13301.397755100108,13301.397755100108,13301.397755100108,13301.397755100108,13301.397755100108,13301.397755100108,0.0,0.0,0.0,14354.320620503566
6,2022-04-01,662.8053649128856,14126.867411838159,15845.933947978507,662.8053649128856,662.8053649128856,14341.61793689981,14341.61793689981,14341.61793689981,14341.61793689981,14341.61793689981,14341.61793689981,0.0,0.0,0.0,15004.423301812694
7,2022-07-01,268.3532253665933,9907.478014413831,11646.721081810478,268.3532253665933,268.3532253665933,10522.94341438128,10522.94341438128,10522.94341438128,10522.94341438128,10522.94341438128,10522.94341438128,0.0,0.0,0.0,10791.296639747872
8,2022-10-01,-130.4335529910456,9537.500586730435,11263.88240202151,-130.4335529910456,-130.4335529910456,10522.943414377827,10522.943414377827,10522.943414377827,10522.943414377827,10522.943414377827,10522.943414377827,0.0,0.0,0.0,10392.509861386781
9,2023-01-01,-529.2203313486845,9087.3066753418,10825.943536479439,-529.2203313486845,-529.2203313486845,10522.94341437627,10522.94341437627,10522.94341437627,10522.94341437627,10522.94341437627,10522.94341437627,0.0,0.0,0.0,9993.723083027586
10,2023-04-01,-919.3378319159402,8676.372764415115,10312.673070895184,-919.3378319159402,-919.3378319159402,10442.87309762262,10442.87309762262,10442.87309762262,10442.87309762262,10442.87309762262,10442.87309762262,0.0,0.0,0.0,9523.53526570668
11,2023-06-30,-1309.455332483195,8388.686649654817,10098.867459479463,-1309.4553422434249,-1309.455321742298,10522.943414380377,10522.943414380377,10522.943414380377,10522.943414380377,10522.943414380377,10522.943414380377,0.0,0.0,0.0,9213.488081897183
